,分词,分词索引化
113,"['侨源', '股份', '中信', '建投', '证券', '股份', '有限公司', '四川', '侨源', '气体', '股份', '有限公司', '使用', '部分', '自有', '资金', '闲置', '募集', '资金', '进行', '现金管理', '核查', '意见']","[0, 11068, 54001, 0, 9932, 11068, 11426, 3650, 0, 6162, 11068, 11426, 308, 421, 6692, 1797, 19109, 25802, 1797, 271, 104092, 41698, 2497]"
114,"['侨源', '股份', '中信', '建投', '证券', '股份', '有限公司', '四川', '侨源', '气体', '股份', '有限公司', '使用', '银行', '承兑汇票', '支付', '募投', '项目', '部分', '款项', '募集', '资金', '等额', '置换', '核查', '意见']","[0, 11068, 54001, 0, 9932, 11068, 11426, 3650, 0, 6162, 11068, 11426, 308, 1432, 148654, 2377, 0, 749, 421, 31071, 25802, 1797, 67842, 21423, 41698, 2497]"
115,"['侨源', '股份', '独立', '董事', '公司', '第四届', '董事会', '第十四次', '会议', '相关', '事项', '独立', '意见']","[0, 11068, 988, 25899, 225, 0, 22872, 0, 3764, 530, 15891, 988, 2497]"
116,"['侨源', '股份', '监事会', '议事规则']","[0, 11068, 122159, 173560]"
117,"['侨源', '股份', '签署', '募集', '资金', '三方', '监管', '协议']","[0, 11068, 10695, 25802, 1797, 0, 4408, 4244]"
118,"['调整', '研发', '中心', '建设项目', '实施', '进度']","[1754, 3190, 1486, 68031, 3072, 8351]"
119,"['续聘', '年度', '审计', '机构']","[0, 6892, 17809, 1712]"
120,"['第三届', '监事会', '第四次', '会议', '决议']","[0, 122159, 0, 3764, 17912]"
121,"['第三届', '董事会', '第四次', '会议', '决议']","[0, 22872, 0, 3764, 17912]"
122,"['国金', '证券', '股份', '有限公司', '新亚', '强', '硅', '化学', '股份', '有限公司', '变更', '部分', '募集', '资金', '投资', '项目', '核查', '意见']","[141459, 9932, 11068, 11426, 178982, 655, 14601, 2588, 11068, 11426, 15574, 421, 25802, 1797, 857, 749, 41698, 2497]"
123,"['对外', '投资', '设立', '合资', '公司']","[3871, 857, 6612, 19321, 225]"
124,"['国金', '证券', '股份', '有限公司', '新亚', '强', '硅', '化学', '股份', '有限公司', '调整', '研发', '中心', '建设项目', '实施', '进度', '核查', '意见']","[141459, 9932, 11068, 11426, 178982, 655, 14601, 2588, 11068, 11426, 1754, 3190, 1486, 68031, 3072, 8351, 41698, 2497]"
125,"['变更', '部分', '募集', '资金', '投资', '项目']","[15574, 421, 25802, 1797, 857, 749]"
126,"['实朴', '检测', '完成', '工商', '变更', '登记', '换发', '营业执照']","[0, 3549, 678, 21646, 15574, 8633, 131718, 42237]"
127,"['鼎龙', '文化', '补充', '披露', '控股', '子公司', '少数', '股权', '收购', '事项']","[0, 525, 1268, 14061, 22043, 24811, 2279, 9255, 6599, 15891]"
128,"['鼎龙', '文化', '补充', '披露', '控股', '子公司', '对外', '提供', '财务', '资助', '事项']","[0, 525, 1268, 14061, 22043, 24811, 3871, 614, 4233, 9120, 15891]"
129,"['厦门', '华侨', '电子', '股份', '有限公司', '股票', '退市', '整理', '期', '交易', '第七次', '风险', '提示']","[8854, 24102, 2859, 11068, 11426, 2913, 69188, 2150, 1729, 2175, 0, 1361, 4504]"
130,"['首次', '公开', '发行', '限售', '股', '上市', '流通']","[4864, 2314, 5698, 0, 1701, 4775, 9558]"
